"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","TD","Sl_no"
"9531",40,"services","married","basic.6y","unknown","no","no","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no",9531
"36709",20,"student","single","high.school","no","yes","no","cellular","jun","fri",2,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"yes",36709
"39891",78,"retired","divorced","unknown","no","no","no","cellular","jun","thu",4,999,0,"nonexistent",-1.7,94.055,-39.8,0.729,4991.6,"yes",39891
"39599",20,"student","single","unknown","no","yes","no","telephone","may","wed",4,999,0,"nonexistent",-1.8,93.876,-40,0.672,5008.7,"yes",39599
"30216",59,"retired","married","basic.4y","no","yes","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,1.365,5099.1,"yes",30216
"38576",55,"retired","married","high.school","no","yes","no","cellular","oct","thu",2,7,1,"success",-3.4,92.431,-26.9,0.722,5017.5,"yes",38576
"30275",28,"blue-collar","single","basic.9y","no","yes","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"yes",30275
"3686",37,"blue-collar","single","basic.9y","unknown","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"yes",3686
"40003",21,"student","single","high.school","no","yes","yes","cellular","jun","wed",2,999,0,"nonexistent",-1.7,94.055,-39.8,0.767,4991.6,"yes",40003
"35624",46,"management","married","university.degree","no","no","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no",35624
"15834",27,"blue-collar","single","basic.9y","no","yes","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no",15834
"14971",44,"blue-collar","married","basic.6y","unknown","no","no","cellular","jul","wed",6,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no",14971
"23827",29,"admin.","single","university.degree","no","yes","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no",23827
"13425",27,"technician","divorced","professional.course","no","yes","no","cellular","jul","wed",5,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",13425
"7592",37,"management","married","university.degree","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",7592
"38522",63,"retired","married","high.school","no","yes","no","cellular","oct","wed",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.724,5017.5,"yes",38522
"29098",38,"technician","married","professional.course","unknown","no","no","cellular","apr","fri",1,999,2,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes",29098
"33335",29,"admin.","married","university.degree","no","no","yes","telephone","may","tue",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no",33335
"33192",26,"services","married","basic.9y","no","no","yes","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"yes",33192
"2212",37,"admin.","married","high.school","no","yes","no","telephone","may","mon",4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",2212
"22498",38,"self-employed","married","basic.9y","unknown","no","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes",22498
"40894",27,"student","single","unknown","no","yes","no","cellular","oct","fri",1,20,4,"failure",-1.1,94.601,-49.5,0.972,4963.6,"no",40894
"14193",32,"admin.","single","university.degree","no","unknown","unknown","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",14193
"30883",37,"services","single","basic.9y","no","no","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no",30883
"25992",34,"entrepreneur","single","basic.9y","no","no","no","cellular","nov","wed",1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no",25992
"39576",18,"student","single","unknown","no","yes","no","telephone","may","tue",1,3,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",39576
"39412",82,"housemaid","divorced","basic.4y","no","unknown","unknown","cellular","apr","tue",6,999,0,"nonexistent",-1.8,93.749,-34.6,0.638,5008.7,"yes",39412
"12120",39,"unemployed","married","basic.4y","no","no","no","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,4.947,5228.1,"no",12120
"36602",21,"services","single","professional.course","no","yes","yes","cellular","jun","thu",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"yes",36602
"24685",37,"blue-collar","married","basic.6y","no","yes","no","telephone","nov","mon",3,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no",24685
"31745",33,"blue-collar","married","basic.6y","no","no","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no",31745
"26251",58,"management","married","unknown","no","no","no","cellular","nov","thu",2,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,"no",26251
"39365",58,"services","married","high.school","no","no","no","cellular","mar","mon",2,3,1,"success",-1.8,93.369,-34.8,0.635,5008.7,"yes",39365
"9853",53,"blue-collar","divorced","basic.4y","no","no","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes",9853
"32139",34,"blue-collar","married","basic.9y","no","no","yes","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"yes",32139
"23068",32,"technician","married","professional.course","no","yes","no","cellular","aug","tue",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",23068
"24045",31,"admin.","single","university.degree","no","yes","no","telephone","oct","tue",1,999,0,"nonexistent",-0.1,93.798,-40.4,4.86,5195.8,"yes",24045
"30437",21,"student","single","unknown","no","yes","yes","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes",30437
"29479",51,"blue-collar","married","basic.9y","unknown","yes","no","cellular","apr","mon",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",29479
"36706",25,"technician","single","basic.9y","no","yes","no","cellular","jun","fri",2,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"yes",36706
"31767",34,"admin.","married","university.degree","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no",31767
"30488",31,"admin.","single","university.degree","no","yes","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes",30488
"6766",28,"blue-collar","single","basic.9y","no","no","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",6766
"15777",22,"blue-collar","single","basic.9y","no","yes","yes","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"yes",15777
"3184",45,"admin.","married","high.school","no","yes","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"yes",3184
"30468",65,"management","married","university.degree","no","no","no","telephone","may","mon",3,6,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"yes",30468
"34989",55,"blue-collar","married","professional.course","no","yes","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no",34989
"9957",33,"entrepreneur","married","high.school","no","yes","no","telephone","jun","wed",8,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no",9957
"40193",56,"technician","married","professional.course","no","yes","no","cellular","jul","mon",2,13,1,"success",-1.7,94.215,-40.3,0.87,4991.6,"yes",40193
"5322",27,"blue-collar","married","unknown","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",5322
"5313",40,"management","married","university.degree","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",5313
"25772",31,"technician","single","basic.9y","unknown","yes","yes","cellular","nov","wed",1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no",25772
"3609",26,"blue-collar","single","basic.9y","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"yes",3609
"8351",24,"admin.","single","high.school","no","no","no","telephone","jun","tue",1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"yes",8351
"40403",41,"entrepreneur","married","university.degree","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",-1.7,94.027,-38.3,0.904,4991.6,"yes",40403
"34807",25,"blue-collar","single","high.school","unknown","no","yes","cellular","may","thu",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no",34807
"38842",39,"admin.","married","high.school","no","no","no","cellular","nov","mon",1,3,2,"success",-3.4,92.649,-30.1,0.714,5017.5,"no",38842
"7010",37,"unemployed","married","professional.course","unknown","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"yes",7010
"17281",51,"entrepreneur","married","basic.6y","unknown","yes","yes","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",17281
"20000",42,"self-employed","married","university.degree","no","no","no","cellular","aug","fri",4,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes",20000
"34318",26,"management","single","university.degree","no","yes","no","cellular","may","thu",1,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no",34318
"16202",58,"retired","married","basic.4y","no","no","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no",16202
"6987",57,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",6987
"1481",50,"technician","married","professional.course","unknown","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no",1481
"38683",54,"admin.","married","high.school","no","yes","no","cellular","nov","fri",1,3,3,"success",-3.4,92.649,-30.1,0.716,5017.5,"yes",38683
"13967",41,"services","married","professional.course","no","no","yes","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no",13967
"34881",39,"blue-collar","single","unknown","no","yes","yes","cellular","may","fri",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no",34881
"24846",52,"management","married","high.school","no","yes","no","cellular","nov","tue",1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no",24846
"38745",72,"retired","divorced","basic.6y","no","yes","no","cellular","nov","wed",1,999,0,"nonexistent",-3.4,92.649,-30.1,0.715,5017.5,"yes",38745
"37177",60,"self-employed","divorced","university.degree","no","no","no","cellular","aug","thu",2,999,0,"nonexistent",-2.9,92.201,-31.4,0.883,5076.2,"no",37177
"39583",52,"technician","married","university.degree","no","no","yes","telephone","may","tue",1,2,2,"success",-1.8,93.876,-40,0.668,5008.7,"yes",39583
"33774",24,"student","single","high.school","no","no","no","cellular","may","wed",1,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"yes",33774
"38994",43,"admin.","married","high.school","no","no","yes","cellular","dec","mon",2,8,2,"failure",-3,92.713,-33,0.717,5023.5,"yes",38994
"7209",56,"technician","married","professional.course","unknown","yes","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",7209
"15156",32,"admin.","single","university.degree","no","no","yes","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"yes",15156
"36719",52,"management","married","university.degree","no","no","no","telephone","jun","fri",2,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"no",36719
"15212",28,"blue-collar","single","unknown","no","no","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"yes",15212
"22784",60,"retired","married","unknown","no","yes","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes",22784
"40927",31,"blue-collar","single","basic.9y","no","no","no","telephone","oct","tue",1,999,0,"nonexistent",-1.1,94.601,-49.5,0.982,4963.6,"no",40927
"14986",28,"self-employed","single","high.school","no","no","no","cellular","jul","thu",6,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no",14986
"35800",28,"admin.","single","university.degree","no","yes","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no",35800
"18141",31,"admin.","single","university.degree","no","yes","no","cellular","jul","wed",4,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no",18141
"24018",32,"admin.","married","high.school","no","no","no","telephone","oct","tue",1,999,0,"nonexistent",-0.1,93.798,-40.4,4.968,5195.8,"yes",24018
"28050",50,"self-employed","single","basic.9y","no","no","no","cellular","apr","thu",2,999,1,"failure",-1.8,93.075,-47.1,1.483,5099.1,"no",28050
"30245",44,"blue-collar","married","basic.9y","no","yes","no","telephone","apr","thu",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"no",30245
"15375",37,"entrepreneur","single","professional.course","no","no","no","cellular","jul","fri",5,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no",15375
"39786",25,"services","single","unknown","no","yes","no","cellular","jun","tue",1,13,2,"failure",-1.7,94.055,-39.8,0.702,4991.6,"yes",39786
"17062",28,"services","single","high.school","no","no","no","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",17062
"31237",31,"technician","single","unknown","no","yes","no","cellular","may","wed",1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no",31237
"38350",38,"technician","married","university.degree","no","no","no","cellular","oct","fri",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.739,5017.5,"yes",38350
"38960",38,"technician","married","university.degree","no","yes","yes","cellular","dec","wed",1,999,0,"nonexistent",-3,92.713,-33,0.721,5023.5,"yes",38960
"39181",64,"retired","married","university.degree","no","no","no","cellular","mar","fri",1,3,2,"success",-1.8,93.369,-34.8,0.653,5008.7,"no",39181
"39207",49,"blue-collar","married","basic.9y","unknown","yes","no","cellular","mar","mon",4,999,1,"failure",-1.8,93.369,-34.8,0.652,5008.7,"yes",39207
"20830",35,"technician","single","professional.course","no","yes","no","cellular","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",20830
"37545",62,"retired","married","unknown","no","no","no","cellular","aug","fri",4,999,0,"nonexistent",-2.9,92.201,-31.4,0.869,5076.2,"yes",37545
"27523",41,"blue-collar","married","unknown","no","yes","no","cellular","nov","fri",4,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"yes",27523
"41133",41,"unemployed","married","basic.9y","no","no","no","cellular","nov","thu",2,3,2,"success",-1.1,94.767,-50.8,1.041,4963.6,"yes",41133
"8676",32,"admin.","married","university.degree","no","no","no","telephone","jun","wed",3,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no",8676
"37074",32,"admin.","single","university.degree","no","yes","no","cellular","jul","wed",3,999,0,"nonexistent",-2.9,92.469,-33.6,1.029,5076.2,"yes",37074
"38357",36,"admin.","married","university.degree","no","no","no","cellular","oct","fri",1,999,2,"failure",-3.4,92.431,-26.9,0.739,5017.5,"yes",38357
"5462",56,"services","married","high.school","unknown","no","yes","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",5462
"37382",62,"management","married","university.degree","no","yes","yes","cellular","aug","wed",2,999,0,"nonexistent",-2.9,92.201,-31.4,0.879,5076.2,"no",37382
"2407",38,"blue-collar","single","university.degree","unknown","yes","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"yes",2407
"29748",25,"self-employed","divorced","university.degree","no","no","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",29748
"30600",53,"technician","married","professional.course","no","no","no","cellular","may","mon",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes",30600
"34689",26,"technician","single","professional.course","no","yes","yes","cellular","may","thu",5,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no",34689
"21012",30,"admin.","married","high.school","unknown","yes","yes","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes",21012
"30070",26,"student","single","high.school","no","yes","no","cellular","apr","thu",4,999,0,"nonexistent",-1.8,93.075,-47.1,1.406,5099.1,"yes",30070
"10738",50,"housemaid","divorced","basic.4y","unknown","yes","yes","telephone","jun","tue",27,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no",10738
"8997",31,"admin.","single","basic.9y","no","no","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no",8997
"7711",38,"services","married","high.school","unknown","no","no","telephone","may","fri",6,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",7711
"36161",26,"self-employed","married","university.degree","no","no","no","cellular","may","wed",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.27,5099.1,"yes",36161
"20570",33,"technician","married","university.degree","no","yes","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes",20570
"29072",50,"management","married","university.degree","no","yes","no","telephone","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",29072
"2040",24,"services","single","high.school","no","no","no","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes",2040
"39079",31,"admin.","married","professional.course","no","no","yes","cellular","dec","mon",2,999,1,"failure",-3,92.713,-33,0.709,5023.5,"yes",39079
"5225",26,"student","single","basic.9y","unknown","yes","yes","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",5225
"38656",54,"technician","married","basic.9y","no","no","no","cellular","nov","tue",2,999,1,"failure",-3.4,92.649,-30.1,0.72,5017.5,"yes",38656
"7398",40,"services","married","high.school","no","no","yes","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",7398
"39734",69,"retired","married","high.school","no","no","no","cellular","may","wed",1,10,1,"success",-1.8,93.876,-40,0.697,5008.7,"yes",39734
"8173",26,"technician","single","university.degree","no","no","no","telephone","jun","tue",3,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"yes",8173
"9140",30,"self-employed","married","professional.course","no","no","no","telephone","jun","fri",2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no",9140
"3158",39,"services","single","high.school","unknown","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",3158
"34899",39,"technician","single","high.school","no","yes","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no",34899
"40213",62,"retired","married","high.school","no","no","no","cellular","jul","tue",2,999,0,"nonexistent",-1.7,94.215,-40.3,0.876,4991.6,"yes",40213
"32795",31,"management","single","university.degree","no","yes","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no",32795
"16959",48,"unemployed","married","basic.6y","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",16959
"29555",33,"services","married","high.school","no","yes","yes","cellular","apr","mon",5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",29555
"34096",52,"technician","divorced","high.school","no","no","yes","cellular","may","wed",2,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no",34096
"17079",47,"blue-collar","married","basic.4y","unknown","no","yes","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",17079
"18660",38,"admin.","married","high.school","no","yes","no","telephone","jul","thu",18,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no",18660
"31719",39,"services","single","professional.course","unknown","yes","no","cellular","may","thu",1,999,1,"failure",-1.8,92.893,-46.2,1.327,5099.1,"no",31719
"14143",30,"technician","single","professional.course","no","no","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",14143
"28194",40,"blue-collar","married","basic.9y","no","no","yes","cellular","apr","tue",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.453,5099.1,"no",28194
"40974",68,"retired","divorced","high.school","no","yes","yes","cellular","oct","mon",1,3,1,"success",-1.1,94.601,-49.5,1,4963.6,"yes",40974
"36853",53,"housemaid","married","basic.4y","no","yes","no","cellular","jun","tue",2,999,0,"nonexistent",-2.9,92.963,-40.8,1.252,5076.2,"yes",36853
"36298",29,"admin.","single","university.degree","no","no","no","cellular","jun","mon",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.266,5076.2,"yes",36298
"30537",27,"technician","single","university.degree","no","yes","no","cellular","may","mon",6,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"no",30537
"33361",33,"technician","divorced","high.school","no","no","no","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no",33361
"30573",30,"admin.","married","university.degree","no","yes","yes","cellular","may","mon",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes",30573
"19186",48,"admin.","married","university.degree","unknown","yes","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"yes",19186
"14707",39,"blue-collar","married","basic.6y","unknown","yes","no","cellular","jul","tue",5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no",14707
"26030",36,"entrepreneur","single","university.degree","no","no","no","cellular","nov","wed",2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"yes",26030
"29158",34,"entrepreneur","married","university.degree","no","yes","yes","telephone","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",29158
"21781",58,"blue-collar","married","basic.9y","unknown","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no",21781
"7263",29,"admin.","married","university.degree","no","no","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",7263
"31990",48,"technician","married","basic.9y","no","no","no","cellular","may","thu",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"yes",31990
"13621",57,"management","married","basic.4y","unknown","no","yes","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes",13621
"10538",37,"technician","married","professional.course","no","yes","no","telephone","jun","tue",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no",10538
"37087",27,"management","single","university.degree","no","yes","no","cellular","jul","mon",2,999,0,"nonexistent",-2.9,92.469,-33.6,0.944,5076.2,"yes",37087
"38772",25,"admin.","married","high.school","no","yes","no","cellular","nov","thu",1,999,0,"nonexistent",-3.4,92.649,-30.1,0.714,5017.5,"no",38772
"38737",37,"services","married","high.school","no","no","no","cellular","nov","wed",2,999,2,"failure",-3.4,92.649,-30.1,0.715,5017.5,"yes",38737
"36618",53,"housemaid","married","high.school","no","no","yes","cellular","jun","thu",1,999,2,"failure",-2.9,92.963,-40.8,1.26,5076.2,"yes",36618
"519",42,"blue-collar","married","unknown","unknown","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",519
"27770",32,"management","single","university.degree","no","yes","no","cellular","mar","mon",1,999,0,"nonexistent",-1.8,92.843,-50,1.703,5099.1,"yes",27770
"26933",35,"blue-collar","divorced","basic.4y","no","no","no","cellular","nov","thu",4,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,"no",26933
"8343",44,"blue-collar","single","unknown","unknown","yes","no","telephone","jun","tue",1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no",8343
"37866",40,"technician","married","high.school","no","yes","no","cellular","aug","mon",2,999,2,"failure",-2.9,92.201,-31.4,0.821,5076.2,"no",37866
"31317",47,"blue-collar","single","basic.9y","unknown","no","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no",31317
"23156",52,"blue-collar","married","basic.4y","no","no","no","cellular","aug","tue",6,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",23156
"27785",32,"management","single","university.degree","no","yes","no","cellular","mar","tue",3,999,0,"nonexistent",-1.8,92.843,-50,1.687,5099.1,"yes",27785
"26928",30,"management","single","high.school","no","no","no","cellular","nov","thu",2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"yes",26928
"4365",43,"unknown","married","university.degree","no","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",4365
"32814",32,"blue-collar","married","basic.9y","no","yes","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no",32814
"26615",57,"admin.","divorced","university.degree","no","yes","yes","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"yes",26615
"37524",29,"management","married","university.degree","no","yes","no","cellular","aug","thu",1,4,2,"success",-2.9,92.201,-31.4,0.873,5076.2,"no",37524
"24645",57,"retired","married","university.degree","no","yes","yes","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"yes",24645
"27871",36,"admin.","married","high.school","no","yes","no","cellular","mar","thu",3,999,0,"nonexistent",-1.8,92.843,-50,1.584,5099.1,"yes",27871
"18642",31,"self-employed","married","university.degree","no","no","no","cellular","jul","thu",5,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no",18642
"30358",24,"technician","single","university.degree","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",30358
"26870",39,"management","married","university.degree","no","yes","yes","cellular","nov","thu",3,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no",26870
"18276",34,"technician","married","professional.course","unknown","yes","no","cellular","jul","wed",5,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no",18276
"5343",46,"admin.","married","basic.9y","unknown","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",5343
"4467",40,"blue-collar","married","basic.6y","unknown","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",4467
"38116",22,"services","single","professional.course","no","yes","yes","cellular","sep","tue",1,999,0,"nonexistent",-3.4,92.379,-29.8,0.755,5017.5,"yes",38116
"30944",36,"blue-collar","divorced","basic.9y","unknown","yes","no","telephone","may","tue",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no",30944
"15718",28,"admin.","single","high.school","no","yes","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no",15718
"27237",34,"technician","divorced","university.degree","no","no","no","cellular","nov","fri",3,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"yes",27237
"28615",66,"retired","married","basic.4y","no","no","yes","cellular","apr","wed",5,999,1,"failure",-1.8,93.075,-47.1,1.415,5099.1,"yes",28615
"37398",26,"student","single","basic.9y","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",-2.9,92.201,-31.4,0.879,5076.2,"yes",37398
"24076",45,"unknown","married","unknown","no","no","no","telephone","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.663,5195.8,"yes",24076
"38019",36,"services","married","high.school","no","yes","yes","cellular","sep","wed",3,999,0,"nonexistent",-3.4,92.379,-29.8,0.781,5017.5,"yes",38019
"10388",44,"unknown","single","basic.9y","unknown","yes","no","telephone","jun","mon",3,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no",10388
